Question,Response_Number,Response,Score,Answer
What is regularization in machine learning?,R1,Regularization is a technique used in machine learning to prevent overfitting by adding a penalty term to the loss function. This discourages the model from fitting the noise in the training data. Common methods include L1 (Lasso) and L2 (Ridge) regularization.,1.0,Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function.
What is ensemble learning?,R1,"Ensemble learning is a machine learning technique that combines predictions from multiple models to produce a more accurate and robust result. Common methods include bagging, boosting, and stacking. It helps reduce errors and improves model performance.",1.0,Ensemble learning is a technique that combines multiple machine learning models to improve performance and robustness.
What is the ROC curve?,R1,"The ROC (Receiver Operating Characteristic) curve is a graphical representation of a classification model’s performance. It plots the True Positive Rate (TPR) against the False Positive Rate (FPR) at various threshold settings. The closer the curve is to the top-left, the better the model.",1.0,The receiver operating characteristic (ROC) curve is a graphical plot that illustrates the performance of a binary classification model across different threshold settings.
What is AUC-ROC?,R1,"AUC-ROC stands for Area Under the Receiver Operating Characteristic Curve. It is a performance metric for classification models that tells how well the model distinguishes between classes. AUC close to 1 indicates a strong model, while 0.5 indicates random guessing.",1.0,The area under the ROC curve (AUC-ROC) is a metric used to evaluate the performance of a binary classification model.
What is the difference between classification and regression?,R1,"Classification and regression are types of supervised learning. Classification predicts discrete labels or categories like 'spam' or 'not spam', while regression predicts continuous values like price or temperature. Both use labeled data to train models, but their outputs differ.",1.0,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while regression is a supervised learning task where the goal is to predict continuous numerical values."
What is clustering?,R1,Clustering is an unsupervised learning technique used to group similar data points together based on certain features. The goal is to identify natural groupings in data without using labeled outputs. A common clustering algorithm is K-means.,1.0,Clustering is an unsupervised learning technique that involves grouping similar data points together based on their features or characteristics.
What is the curse of dimensionality?,R1,"The curse of dimensionality refers to the problems that arise when analyzing data in high-dimensional spaces. As dimensions increase, data points become sparse, making it harder for models to find patterns and leading to poor performance.",1.0,The curse of dimensionality refers to the phenomenon where the performance of certain algorithms deteriorates as the number of features or dimensions in the data increases.
What is the difference between precision and recall?,R1,"Precision is the ratio of correctly predicted positive observations to total predicted positives. Recall is the ratio of correctly predicted positives to all actual positives. Precision focuses on accuracy of positive predictions, while recall focuses on capturing all true positives.",1.0,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
What is the F1 score?,R1,The F1 score is the harmonic mean of precision and recall. It balances the two metrics and is especially useful when there is an uneven class distribution. A high F1 score indicates a good balance between precision and recall.,1.0,The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier.
What is the bias of an estimator?,R1,The bias of an estimator is the difference between the expected value of the estimator and the true value of the parameter being estimated. A high bias means the estimator consistently misses the mark in the same direction.,1.0,The bias of an estimator measures the difference between the expected value of the estimator and the true value of the parameter being estimated.
What is the variance of an estimator?,R1,"The variance of an estimator refers to how much the estimator's predictions vary when different samples from the same population are used. High variance means the estimator is sensitive to small changes in the data, leading to inconsistent predictions.",1.0,The variance of an estimator measures the spread or variability of the estimator's values around its expected value.
What is the Central Limit Theorem?,R1,"The Central Limit Theorem states that the sampling distribution of the sample mean will approximate a normal distribution as the sample size becomes large, regardless of the original population’s distribution. This is fundamental in statistical inference.",1.0,The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.
What is regularization in neural networks?,R1,"Regularization in neural networks is a technique used to reduce overfitting by adding a penalty to the loss function. This prevents the model from becoming too complex and helps it generalize better on unseen data. Common methods include L1, L2, and dropout.",1.0,Regularization in neural networks involves adding penalty terms to the loss function to prevent overfitting.
What is batch normalization?,R1,"Batch normalization is a technique used to normalize the inputs of each layer in a neural network. It helps stabilize and speed up training by ensuring that the input to each layer has a consistent distribution, usually zero mean and unit variance.",1.0,Batch normalization is a technique used in neural networks to improve training stability and speed by normalizing the activations of each layer.
What is transfer learning?,R1,"Transfer learning is a machine learning technique where a model developed for one task is reused as the starting point for a model on a second task. It saves time and resources, especially when data is limited for the new task.",1.0,Transfer learning is a machine learning technique where a model trained on one task is reused as the starting point for a model on a related task.
What is natural language processing (NLP)?,R1,"Natural Language Processing (NLP) is a field of artificial intelligence that enables computers to understand, interpret, and generate human language. It includes tasks like language translation, sentiment analysis, and speech recognition.",1.0,Natural language processing (NLP) is a field of artificial intelligence that focuses on the interaction between computers and human languages.
What is word embedding?,R1,"Word embedding is a technique in NLP that maps words into continuous vector space where semantically similar words are close together. Popular methods include Word2Vec, GloVe, and FastText.",1.0,Word embedding is a technique used to represent words as dense vectors in a continuous vector space.
What is sentiment analysis?,R1,"Sentiment analysis is a Natural Language Processing technique used to determine the emotional tone behind a piece of text. It classifies text as positive, negative, or neutral and is often used in social media monitoring and customer feedback analysis.",1.0,Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text.
What is deep learning?,R1,"Deep learning is a subset of machine learning that uses neural networks with many layers to learn complex patterns from large datasets. It is commonly used in image recognition, natural language processing, and autonomous systems.",1.0,Deep learning is a subset of machine learning that focuses on artificial neural networks with multiple layers.
What is a convolutional neural network (CNN)?,R1,"A convolutional neural network (CNN) is a type of deep learning model particularly effective for processing image data. It uses convolutional layers to automatically detect patterns like edges, textures, and shapes in images.",1.0,"A convolutional neural network (CNN) is a type of deep neural network that is particularly well-suited for processing structured grid-like data, such as images."
What is a recurrent neural network (RNN)?,R1,"A recurrent neural network (RNN) is a type of neural network designed to handle sequential data by using loops that allow information to persist. It’s commonly used in tasks like language modeling, speech recognition, and time series prediction.",1.0,A recurrent neural network (RNN) is a type of neural network designed to process sequential data by maintaining a state or memory of previous inputs.
What is reinforcement learning?,R1,Reinforcement learning is a type of machine learning where an agent learns to make decisions by interacting with an environment and receiving rewards or penalties. It aims to maximize cumulative reward over time.,1.0,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards.
What is Q-learning?,R1,Q-learning is a type of reinforcement learning algorithm where an agent learns the value of taking a certain action in a given state. It updates a Q-table to find the optimal policy for maximizing long-term rewards.,1.0,Q-learning is a model-free reinforcement learning algorithm used to learn the optimal action-selection policy for a Markov decision process (MDP).
What is the exploration-exploitation tradeoff in reinforcement learning?,R1,The exploration-exploitation tradeoff in reinforcement learning refers to the dilemma of choosing between trying new actions to discover their rewards (exploration) and using known actions that give high rewards (exploitation). Balancing both is key to learning an optimal policy.,1.0,The exploration-exploitation tradeoff refers to the dilemma faced by reinforcement learning agents when deciding whether to explore new actions or exploit known actions to maximize rewards.
What is deep reinforcement learning?,R1,"Deep reinforcement learning combines deep learning and reinforcement learning. It uses neural networks to approximate value functions or policies, allowing agents to make decisions in environments with high-dimensional inputs like images.",1.0,Deep reinforcement learning combines reinforcement learning with deep learning techniques to handle high-dimensional input spaces and learn complex policies directly from raw sensory input.
What is a Markov decision process (MDP)?,R1,"A Markov Decision Process (MDP) is a mathematical framework used in reinforcement learning to describe an environment in terms of states, actions, rewards, and transitions. It assumes the Markov property, meaning the next state depends only on the current state and action.",1.0,A Markov decision process (MDP) is a mathematical framework used to model sequential decision-making problems in which an agent interacts with an environment.
What is cross-entropy loss?,R1,Cross-entropy loss is a commonly used loss function in classification tasks. It measures the difference between the predicted probability distribution and the actual label. Lower values mean the prediction is close to the true label.,1.0,"Cross-entropy loss, also known as log loss, is a loss function used in classification tasks to quantify the difference between the predicted probability distribution and the true probability distribution of the classes."
What is the softmax function?,R1,"The softmax function is used in the output layer of a neural network for multi-class classification. It converts raw logits into probabilities that sum to 1, making it easier to interpret which class the model thinks is most likely.",1.0,The softmax function is a mathematical function that converts a vector of arbitrary real values into a vector of probabilities.
What is the difference between a generative model and a discriminative model?,R1,"A generative model learns the joint probability distribution of input features and labels, allowing it to generate new data. A discriminative model learns the decision boundary between classes by modeling the conditional probability.",1.0,"A generative model learns the joint probability distribution of the input features and the target labels, while a discriminative model learns the conditional probability distribution of the target labels given the input features."
What is autoencoder?,R1,An autoencoder is a type of neural network used for unsupervised learning. It compresses input data into a smaller representation (encoding) and then reconstructs it back to the original form (decoding). It’s often used for dimensionality reduction and anomaly detection.,1.0,An autoencoder is a type of neural network architecture that is trained to reconstruct its input data at the output layer.
What is the difference between bagging and boosting?,R1,"Bagging and boosting are ensemble learning techniques. Bagging trains multiple models independently in parallel and averages their predictions. Boosting trains models sequentially, each trying to correct the errors of the previous one.",1.0,"Bagging (Bootstrap Aggregating) is an ensemble method that builds multiple models independently and combines their predictions through averaging or voting, while boosting sequentially builds models by giving more weight to misclassified instances."
What is hyperparameter tuning?,R1,"Hyperparameter tuning is the process of finding the best set of hyperparameters for a machine learning model to improve its performance. It’s usually done using methods like grid search, random search, or Bayesian optimization.",1.0,Hyperparameter tuning is the process of finding the optimal hyperparameters for a machine learning model to improve its performance.
What is the curse of dimensionality in the context of feature selection?,R1,"The curse of dimensionality refers to problems that arise when the number of features in a dataset becomes very large. It can make models overfit, increase computational cost, and reduce model performance due to sparse data in high-dimensional space.",1.0,"The curse of dimensionality in feature selection refers to the challenges and limitations posed by high-dimensional data, such as increased computational complexity and difficulty in finding meaningful features."
What is the difference between L1 and L2 regularization?,R1,"L1 regularization adds the absolute value of the weights to the loss function, leading to sparse models by driving some weights to zero. L2 adds the squared value of the weights, penalizing large weights more smoothly without making them exactly zero.",1.0,"L1 regularization (Lasso) adds a penalty term proportional to the absolute value of the coefficients, encouraging sparsity and feature selection, while L2 regularization (Ridge) adds a penalty term proportional to the square of the coefficients, penalizing large coefficients."
What is the purpose of cross-validation in feature selection?,R1,Cross-validation in feature selection helps evaluate how well the selected features perform on unseen data. It prevents overfitting by ensuring that the feature set generalizes well to different data splits.,1.0,"Cross-validation in feature selection is used to evaluate the performance of a model with different subsets of features, helping to identify the most informative features and reduce the risk of overfitting."
What is the role of bias in model evaluation?,R1,"In model evaluation, bias refers to the error introduced by approximating a real-world problem with a simplified model. High bias can lead to underfitting, meaning the model cannot capture the underlying patterns well.",1.0,"Bias in model evaluation refers to systematic errors or inaccuracies in the predictions made by a model, which may arise from simplifying assumptions or limitations in the model architecture."
What is the importance of interpretability in machine learning models?,R1,"Interpretability in machine learning is important because it allows humans to understand how and why a model makes its decisions. This is essential in high-stakes areas like healthcare, finance, and law where transparency and trust are critical.",1.0,"Interpretability in machine learning models is important for understanding how predictions are made, gaining insights into the underlying relationships in the data, and building trust with stakeholders."
What is the difference between k-means and hierarchical clustering?,R1,"K-means clustering partitions data into k fixed clusters by minimizing intra-cluster distance. Hierarchical clustering builds a tree of clusters using either a bottom-up or top-down approach, and does not require specifying the number of clusters in advance.",1.0,"K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity."
What is the Elbow Method used for in k-means clustering?,R1,The Elbow Method is used to determine the optimal number of clusters in k-means clustering. It involves plotting the within-cluster sum of squares (WCSS) against the number of clusters and finding the 'elbow' point where the rate of decrease sharply changes.,1.0,"The Elbow Method is used to determine the optimal number of clusters (k) in k-means clustering by plotting the within-cluster sum of squares against the number of clusters and identifying the ""elbow"" point where the rate of decrease in inertia slows down."
What is the role of regularization in reducing model complexity?,R1,"Regularization helps reduce model complexity by penalizing large weights in the model. This prevents the model from fitting noise in the training data, reducing overfitting and improving generalization.",1.0,"Regularization in machine learning reduces model complexity by adding penalty terms to the loss function, encouraging simpler models with smaller coefficients or fewer features."
What is the difference between gradient descent and stochastic gradient descent?,R1,"Gradient Descent uses the entire training dataset to compute the gradient and update model parameters, while Stochastic Gradient Descent (SGD) updates the parameters using only one sample at a time, which makes it faster but noisier.",1.0,"Gradient descent updates model parameters using the average gradient of the entire training dataset, while stochastic gradient descent updates parameters using the gradient of a single randomly selected data point or mini-batch."
What is the tradeoff between bias and variance in model selection?,R1,The tradeoff between bias and variance involves balancing error from overly simplistic models (high bias) and error from models that are too complex and sensitive to training data (high variance). Finding the right balance improves generalization on new data.,1.0,The bias-variance tradeoff in model selection involves balancing the tradeoff between bias (underfitting) and variance (overfitting) by selecting models with an appropriate level of complexity based on the dataset and task.
What is the role of regularization in reducing overfitting?,R1,"Regularization adds a penalty to the loss function to discourage complex models, which helps reduce overfitting by simplifying the model and improving generalization.",1.0,"Regularization in machine learning reduces overfitting by penalizing overly complex models, encouraging simpler models that generalize better to unseen data."
What are some techniques for handling imbalanced datasets in classification tasks?,R1,"Techniques for handling imbalanced datasets include oversampling the minority class, undersampling the majority class, using synthetic data generation like SMOTE, and applying class weighting during model training.",1.0,"Techniques for handling imbalanced datasets include resampling methods such as oversampling the minority class or undersampling the majority class, using cost-sensitive learning algorithms, and generating synthetic samples with techniques like SMOTE."
What is the purpose of A/B testing in data science?,R1,A/B testing is used to compare two versions of a product or feature to determine which one performs better based on user behavior or other metrics.,1.0,"A/B testing is used to compare two or more versions of a product or intervention to determine which one performs better based on predefined metrics, such as conversion rate or user engagement."
What is the difference between correlation and causation?,R1,"Correlation means two variables move together, but causation means one variable directly causes the change in another. Correlation does not imply causation.",1.0,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable."
What is the role of feature scaling in machine learning?,R1,"Feature scaling standardizes the range of independent variables or features of data, which helps many machine learning algorithms converge faster and perform better.",1.0,"Feature scaling in machine learning ensures that all features have the same scale or range, preventing certain features from dominating others during model training. Common scaling techniques include min-max scaling and standardization."
What is the difference between classification and clustering?,R1,"Classification assigns predefined labels to data points based on training, while clustering groups data points based on similarity without predefined labels.",1.0,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while clustering is an unsupervised learning task where the goal is to group similar data points together based on their features."
What is the purpose of Principal Component Analysis (PCA) in dimensionality reduction?,R1,"PCA reduces the number of features in a dataset by transforming the data into new uncorrelated variables called principal components, which capture the most variance.",1.0,"Principal Component Analysis (PCA) is used to reduce the dimensionality of a dataset by transforming the original features into a new set of orthogonal principal components, which capture the maximum variance in the data."
What is the role of regularization in neural networks?,R1,"Regularization in neural networks helps prevent overfitting by adding a penalty to the loss function, encouraging simpler models that generalize better to new data.",1.0,"Regularization in neural networks helps prevent overfitting by adding penalty terms to the loss function, encouraging simpler models with smaller weights or fewer connections."
What is dropout regularization in neural networks?,R1,"Dropout regularization randomly disables a fraction of neurons during training, which helps prevent overfitting by forcing the network to learn redundant representations.",1.0,"Dropout regularization is a technique used in neural networks to reduce overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
What is the difference between a generative adversarial network (GAN) and a variational autoencoder (VAE)?,R1,"A GAN consists of two neural networks, a generator and a discriminator, competing against each other to create realistic data, while a VAE is a probabilistic model that learns to encode and decode data using latent variables.",1.0,"Generative adversarial networks (GANs) consist of two neural networks (generator and discriminator) that compete with each other to generate realistic data samples, while variational autoencoders (VAEs) learn a probabilistic model of the data's latent space and generate new samples by sampling from this distribution."
What is the difference between batch gradient descent and mini-batch gradient descent?,R1,"Batch gradient descent computes the gradient using the entire training dataset for each update, while mini-batch gradient descent uses small batches of data, combining the advantages of batch and stochastic methods.",1.0,"Batch gradient descent computes the gradient of the cost function using the entire training dataset, while mini-batch gradient descent computes the gradient using a randomly selected subset (mini-batch) of the training data."
What is the role of activation functions in neural networks?,R1,"Activation functions introduce non-linearity into neural networks, enabling them to learn complex patterns and relationships beyond simple linear transformations.",1.0,"Activation functions introduce non-linearity into neural networks, allowing them to learn complex mappings between inputs and outputs. Common activation functions include sigmoid, tanh, ReLU, and softmax."
What is the difference between generative and discriminative models in machine learning?,R1,"Generative models learn the joint probability distribution of inputs and outputs and can generate new data, while discriminative models learn the decision boundary between classes without generating data.",1.0,"Generative models learn the joint probability distribution of the input features and the target labels, while discriminative models learn the conditional probability distribution of the target labels given the input features."
What is the purpose of dropout regularization in neural networks?,R1,"Dropout regularization helps prevent overfitting in neural networks by randomly disabling a fraction of neurons during training, forcing the network to learn more robust features.",1.0,"Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
What is the role of LSTMs in sequence modeling tasks?,R1,"LSTMs are designed to handle long-term dependencies in sequence data by using gates to control the flow of information, which helps avoid the vanishing gradient problem common in traditional RNNs.",1.0,"Long Short-Term Memory (LSTM) networks are a type of recurrent neural network (RNN) designed to capture long-range dependencies and temporal dynamics in sequential data, making them well-suited for tasks such as language modeling and time series prediction."
What is the difference between precision and recall in classification tasks?,R1,"Precision measures the proportion of true positive predictions out of all positive predictions, while recall measures the proportion of true positives out of all actual positives.",1.0,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
"What is the F1 score, and why is it useful in model evaluation?",R1,"The F1 score is the harmonic mean of precision and recall, providing a balance between the two metrics especially useful when classes are imbalanced.",1.0,"The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier, balancing both precision and recall. It is particularly useful for imbalanced datasets where one class is much more prevalent than the others."
What is the purpose of word embedding in natural language processing (NLP)?,R1,"Word embeddings are a core concept in NLP, transforming words into dense numerical vectors. This process allows computers to understand and process human language by representing words in a continuous vector space where words with similar meanings are located closer together. This capability is essential for various NLP tasks, including sentiment analysis, machine translation, and information retrieval, as it enables models to capture the semantic and contextual relationships between words effectively, leading to improved performance and understanding.",1.0,"Word embedding is a technique used to represent words as dense vectors in a continuous vector space, capturing semantic relationships between words and enabling neural networks to process textual data more effectively."
What is the difference between word2vec and GloVe in word embedding?,R1,"Word2Vec learns word embeddings by predicting surrounding words using a local context window, while GloVe uses global word co-occurrence statistics from the entire corpus.",1.0,"Word2Vec is a model that learns word embeddings by predicting the surrounding words in a text corpus, while GloVe (Global Vectors for Word Representation) learns word embeddings by factorizing the co-occurrence matrix of words in the corpus."
What is the purpose of sentiment analysis in natural language processing (NLP)?,R1,"Sentiment analysis is used in NLP to determine whether a piece of text expresses a positive, negative, or neutral opinion.",1.0,"Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text, such as positive, negative, or neutral. It is commonly used to analyze customer reviews, social media posts, and survey responses."
What is the difference between shallow learning and deep learning?,R1,"Shallow learning models typically have only one or two layers, while deep learning models have many layers, allowing them to learn complex patterns.",1.0,"Shallow learning refers to traditional machine learning algorithms with a small number of layers or features, while deep learning involves neural networks with multiple layers that can learn hierarchical representations of the data."
What is the role of dropout regularization in neural networks?,R1,"Dropout helps prevent overfitting by randomly disabling some neurons during training, so the model doesn’t rely too much on specific paths.",1.0,"Dropout regularization is a technique used in neural networks to prevent overfitting by randomly dropping out a fraction of neurons during training, forcing the network to learn more robust representations."
What is the difference between precision and accuracy in model evaluation?,R1,"Precision measures how many of the predicted positives are actually correct, while accuracy measures how many total predictions were correct overall.",1.0,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while accuracy measures the proportion of correct predictions (both true positives and true negatives) among all predictions made by the classifier."
What is the difference between k-fold cross-validation and leave-one-out cross-validation?,R1,"In k-fold cross-validation, the dataset is split into k parts and each part gets a turn as the test set. In leave-one-out, each test set has only one sample.",1.0,"K-fold cross-validation divides the data into k subsets and iteratively trains the model k times, each time using a different subset as the validation set, while leave-one-out cross-validation trains the model k times, each time using all but one data point as the training set and the remaining point as the validation set."
What is the Naive Bayes classifier and how does it work?,R1,Naive Bayes is a probabilistic classifier that applies Bayes’ Theorem with the assumption that features are independent given the class label.,1.0,"The Naive Bayes classifier is a probabilistic model based on Bayes' theorem with the ""naive"" assumption of feature independence. It calculates the probability of a class given the input features using the product of conditional probabilities."
What is the difference between correlation and covariance?,R1,"Covariance measures the direction of the relationship between two variables, while correlation measures both the strength and direction.",1.0,"Covariance measures the degree to which two variables change together, while correlation measures both the strength and direction of the linear relationship between two variables."
What is the purpose of a confusion matrix in classification tasks?,R1,"A confusion matrix helps visualize how well a classification model is performing by showing true positives, false positives, true negatives, and false negatives.",1.0,"A confusion matrix is a table that visualizes the performance of a classification model by comparing predicted class labels with true class labels. It shows the number of true positives, true negatives, false positives, and false negatives."
What is the difference between stratified sampling and random sampling?,R1,"Stratified sampling divides the population into groups and samples from each, while random sampling selects samples without considering any groups.",1.0,"Stratified sampling divides the population into homogeneous subgroups (strata) and samples from each stratum proportionally, while random sampling selects individuals randomly from the entire population without regard to strata."
"What is the difference between univariate, bivariate, and multivariate analysis?",R1,"Univariate analysis involves one variable, bivariate involves two variables and their relationship, and multivariate involves more than two variables analyzed together.",1.0,"Univariate analysis examines the distribution and summary statistics of a single variable, bivariate analysis explores the relationship between two variables, and multivariate analysis involves analyzing multiple variables simultaneously."
What is the purpose of data preprocessing in machine learning?,R1,"Data preprocessing prepares raw data for a machine learning model by cleaning, normalizing, and transforming it into a usable format.",1.0,"Data preprocessing involves cleaning, transforming, and preparing raw data for machine learning algorithms. It includes tasks such as handling missing values, encoding categorical variables, and scaling features."
What is the bias of a statistical estimator?,R1,Bias is the difference between the expected value of the estimator and the true value of the parameter being estimated.,1.0,The bias of a statistical estimator measures the difference between the expected value of the estimator and the true value of the parameter being estimated. A biased estimator systematically overestimates or underestimates the true parameter value.
What is the variance of a statistical estimator?,R1,Variance of an estimator measures how much the estimator's value would vary across different samples drawn from the same population.,1.0,"The variance of a statistical estimator measures the spread or variability of the estimator's values around its expected value. A high variance indicates that the estimator's values are scattered widely, while a low variance indicates that the values are clustered closely together."
What is the difference between parametric and non-parametric statistical tests?,R1,"Parametric tests assume underlying distributions like normality, while non-parametric tests do not make such assumptions.",1.0,"Parametric statistical tests assume that the data follows a specific probability distribution (e.g., normal distribution), while non-parametric tests make no such assumptions and are based on ranks or frequencies."
What is the purpose of feature scaling in machine learning?,R1,"Feature scaling ensures that all features contribute equally by bringing them to a similar range, which is important for distance-based algorithms.",1.0,"Feature scaling ensures that all features have the same scale or range, preventing certain features from dominating others during model training. Common scaling techniques include min-max scaling and standardization."
What is the difference between correlation and causation in statistics?,R1,"Correlation means two variables move together, while causation means one variable directly affects the other.",1.0,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable."
What is the Central Limit Theorem and why is it important?,R1,"The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases, regardless of the original distribution.",1.0,"The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases, regardless of the shape of the population distribution. It is important because it allows us to make inferences about population parameters based on sample statistics."
What is the purpose of outlier detection in data analysis?,R1,"Outlier detection helps identify data points that are significantly different from the rest, which can affect model performance or indicate data entry errors.",1.0,"Outlier detection involves identifying observations that deviate significantly from the rest of the data. Outliers can distort statistical analyses and machine learning models, so detecting and handling them appropriately is important for accurate results."
What is the difference between supervised and unsupervised outlier detection methods?,R1,"Supervised outlier detection uses labeled data where normal and outlier classes are known, while unsupervised methods detect outliers without any labels.",1.0,"Supervised outlier detection methods require labeled data with outlier labels, while unsupervised methods detect outliers based on the characteristics of the data itself without requiring labeled examples."
What is the difference between statistical inference and predictive modeling?,R1,"Statistical inference aims to explain relationships and test hypotheses using data, while predictive modeling focuses on making accurate predictions on new data.",1.0,"Statistical inference involves drawing conclusions about a population based on a sample of data, while predictive modeling focuses on building models that make predictions about future or unseen data based on past observations."
What is the purpose of regularization in machine learning?,R1,Regularization helps prevent overfitting by adding a penalty to the model’s complexity during training.,1.0,"Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function, discouraging overly complex models. Common regularization techniques include L1 regularization (Lasso) and L2 regularization (Ridge)."
What is the difference between batch gradient descent and stochastic gradient descent?,R1,"Batch gradient descent uses the whole dataset to compute gradients, while stochastic gradient descent updates weights using one data point at a time.",1.0,"Batch gradient descent updates model parameters using the average gradient of the entire training dataset, while stochastic gradient descent updates parameters using the gradient of a single randomly selected data point or mini-batch."
What is the difference between statistical modeling and machine learning?,R1,"Statistical modeling focuses on understanding relationships between variables, while machine learning emphasizes prediction accuracy, often at the cost of interpretability.",1.0,"Statistical modeling focuses on understanding the relationships between variables in a probabilistic framework, while machine learning emphasizes building algorithms that can learn patterns and make predictions from data without explicitly programming them."
