,Question,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
10,What is regularization in machine learning?,Regularization is a technique used in machine learning to prevent overfitting by adding a penalty term to the loss function. This discourages the model from fitting the noise in the training data. Common methods include L1 (Lasso) and L2 (Ridge) regularization.,Regularization means restarting the training process whenever the model performs badly. You keep training it with smaller batches until it starts performing better on both training and test data. That’s how you control the accuracy.,"In machine learning, regularization is used to keep the model simple and avoid overfitting. It does this by penalizing large coefficients in the model. This helps the model generalize better to unseen data.",Regularization is when you apply filters to the input data before training so that the model learns faster. It removes outliers and other irrelevant data to make the learning process more efficient.,It’s a method to control the complexity of a model by adding a penalty for higher weights. This helps in reducing overfitting and improving generalization. Regularization terms are added to the cost function during training.,I think regularization means you use regular data instead of random or missing data. It’s about using clean and consistent input so the model trains in a more stable and reliable way.,"Regularization refers to techniques that prevent the machine learning model from becoming too complex. L1 regularization adds the absolute value of the coefficients to the loss function, while L2 adds the square of the coefficients.",It is a process where the dataset is made regular in size. You remove extreme values and keep the dataset balanced so that the training process becomes easier and doesn’t give biased results.,"Regularization ensures the model performs well by simplifying the hypothesis function. This is done by penalizing high coefficient values, especially in regression algorithms. It improves generalization and reduces the risk of overfitting.","I believe regularization is about regularly updating the learning rate during training. If the learning rate is too high or too low, the model fails. Regularization keeps it consistent and under control."
11,What is ensemble learning?,"Ensemble learning is a machine learning technique that combines predictions from multiple models to produce a more accurate and robust result. Common methods include bagging, boosting, and stacking. It helps reduce errors and improves model performance.",I think ensemble learning is about teaching the model in groups. You divide your dataset into parts and assign each to a different model. The model with the best accuracy is selected in the end.,"Ensemble learning works by using many models together, like decision trees or logistic regression models, and then combining their outputs. This is done to reduce bias, variance, or improve predictions. Random Forest is a well-known ensemble method.",It is a technique where you keep retraining the same model multiple times until it improves. This is how you build an ensemble by repeating the process and choosing the best version.,"Ensemble learning refers to the use of multiple weak learners, like small decision trees, to create a strong predictive model. Methods like boosting train each new model to correct the errors of the previous one.","From what I know, ensemble learning is when you build a big neural network by connecting many small ones. These networks then work as a team and perform better than any single model.","Bagging and boosting are both ensemble learning techniques. Bagging reduces variance by training multiple models on different subsets, while boosting reduces bias by focusing on mistakes of previous models. Both improve model accuracy.","Ensemble learning is similar to regularization. It prevents overfitting by controlling the model complexity. Instead of using one large model, you split it into smaller ones and average their results.",It involves training different models on the same data and combining their predictions to get better results. The idea is that a group of weak models together can outperform a single strong one in many tasks.,Ensemble learning just means using one model at a time in a sequence. Each model gives its answer and then you take the last one as the final result. It's mainly used to reduce processing time.
12,What is the ROC curve?,"The ROC (Receiver Operating Characteristic) curve is a graphical representation of a classification model’s performance. It plots the True Positive Rate (TPR) against the False Positive Rate (FPR) at various threshold settings. The closer the curve is to the top-left, the better the model.",The ROC curve is used to show how many correct and incorrect predictions a model makes. It plots training accuracy against testing accuracy to check if the model is overfitting.,ROC stands for Receiver Operating Characteristic. The curve helps evaluate binary classification models by comparing sensitivity and 1-specificity across thresholds. AUC (Area Under Curve) indicates how well the model separates the classes.,It is a type of chart used in regression models to show the relation between predicted and actual values. It tells us how far the predictions are from the correct answers.,The ROC curve is used in binary classification to analyze the performance of a model at different thresholds. It shows how the model balances true positives and false positives.,ROC is a tool used in machine learning when you want to visualize data clusters. It helps you decide which features to keep and which to remove in feature selection.,The ROC curve is plotted to measure how well a classifier performs over multiple thresholds. It is especially useful when the class distribution is imbalanced and accuracy alone isn’t reliable.,I think the ROC curve is like a confusion matrix. It directly shows how many true positives and true negatives a model has and compares them with false ones.,"ROC curve shows a trade-off between sensitivity and specificity. The curve is used to evaluate classifiers, and a curve closer to the top-left means the model has better performance.","It is used to plot loss values during training to see if the model is improving. If the ROC curve goes down, it means the model is learning better."
13,What is AUC-ROC?,"AUC-ROC stands for Area Under the Receiver Operating Characteristic Curve. It is a performance metric for classification models that tells how well the model distinguishes between classes. AUC close to 1 indicates a strong model, while 0.5 indicates random guessing.",AUC-ROC is used in regression problems to check how close the predicted values are to the actual values. A higher AUC means better prediction performance in numerical data.,The AUC-ROC curve evaluates the trade-off between true positive rate and false positive rate. AUC represents the entire two-dimensional area underneath the ROC curve and is a summary measure of the model's ability to classify.,"I think AUC-ROC is the accuracy of a model plotted over time. It shows how much the model improves as we keep training it with more data, so higher AUC means faster learning.","AUC-ROC is useful in binary classification tasks. ROC plots TPR vs FPR and AUC measures the area under that curve. The higher the AUC, the better the model's ability to distinguish between positive and negative classes.",AUC-ROC is a type of machine learning algorithm that improves classification by using both the true positive and true negative rates together. It gives the final output of the model’s performance.,The AUC-ROC metric combines sensitivity and specificity into a single number. It helps compare different models easily. An AUC above 0.9 is usually considered excellent.,"From what I remember, AUC-ROC is a visualization tool used to tune hyperparameters. It helps in finding the best learning rate and number of epochs by measuring accuracy.","AUC stands for Area Under the Curve, and ROC is the curve itself. Together they give a complete picture of a classifier’s performance at all threshold levels.",It is a curve that shows how well a model is performing in terms of time and cost. AUC-ROC is especially useful for financial models and cost-effective training.
14,What is the difference between classification and regression?,"Classification and regression are types of supervised learning. Classification predicts discrete labels or categories like 'spam' or 'not spam', while regression predicts continuous values like price or temperature. Both use labeled data to train models, but their outputs differ.","Classification is about putting data into charts and regression is about drawing lines through graphs. Classification usually uses bar charts, and regression uses line graphs to represent trends in data.","In classification, the model predicts a class label, such as 'yes' or 'no'. In regression, it predicts a numeric value, such as age or income. For example, predicting whether a student will pass is classification, but predicting their score is regression.","Classification and regression are used in unsupervised learning. Classification assigns labels based on similarity, and regression calculates the differences between categories. Both can be done without labeled data.","The main difference is that classification deals with categorical outcomes, while regression is used for numerical predictions. Algorithms like logistic regression are used for classification, and linear regression for regression tasks.","I believe classification is used when there are many features and regression is used when there are fewer. If your dataset has lots of rows, you choose classification, otherwise use regression.","Classification outputs classes, such as 'cat' or 'dog'. Regression outputs continuous values like height or weight. Models like decision trees and neural networks can be used for both depending on the task.","Classification and regression both predict future values. Classification gives exact answers, and regression gives estimates. That’s why classification is considered more accurate and preferable in most cases.","Classification means grouping things into different buckets or classes, whereas regression estimates a value along a continuous range. For example, detecting disease type is classification, and predicting blood pressure is regression.","In classification, the result is a yes or no answer. In regression, the result is always a percentage or score. Regression can also be used to classify, but only in small datasets."
15,What is clustering?,Clustering is an unsupervised learning technique used to group similar data points together based on certain features. The goal is to identify natural groupings in data without using labeled outputs. A common clustering algorithm is K-means.,Clustering is when we sort the data in ascending or descending order. It helps organize the dataset before using it in machine learning models. It’s mostly done using sorting functions in Excel or Python.,"In clustering, the algorithm tries to find patterns or similarities in data and puts similar items into the same group. It’s commonly used for market segmentation, image compression, and anomaly detection.","Clustering means classifying data into known categories. For example, identifying emails as spam or not spam is clustering. It requires labeled data and supervised learning techniques.",It is a method where the machine automatically groups data points based on their distance or similarity. K-means and DBSCAN are popular clustering techniques used in data science.,I think clustering is the process of training multiple models at once and selecting the best-performing one. It is mainly used in ensemble learning and model tuning.,"Clustering helps discover structure in a dataset by grouping similar entries. It doesn’t require pre-labeled data, making it useful for exploring unknown datasets. Each group formed is called a cluster.",Clustering is a type of algorithm that fills in missing values by grouping similar rows and copying values from one row to another. It’s mostly useful in data cleaning.,It’s a technique where we divide the data into different clusters so that data points in the same group are more similar to each other than to those in other groups.,Clustering is used in time-series prediction to arrange data points by time and season. It helps in preparing datasets for forecasting and trend analysis.
16,What is the curse of dimensionality?,"The curse of dimensionality refers to the problems that arise when analyzing data in high-dimensional spaces. As dimensions increase, data points become sparse, making it harder for models to find patterns and leading to poor performance.","Curse of dimensionality is when too many rows in a dataset make it difficult for the model to train. More rows mean more training time, which causes overfitting and poor accuracy.","It means that as you add more features to your dataset, the amount of data needed to train a model increases exponentially. This can lead to overfitting and reduced model performance.","I think the curse of dimensionality is when you forget to normalize your dataset, and then the algorithm gives wrong answers because the data isn't scaled properly.","It refers to how high-dimensional data can make distance-based models like KNN less effective, as the distance between points becomes less meaningful and all points seem equally far apart.","The curse of dimensionality is a situation where machine learning becomes easier because more features are added. More features mean more details, and models can learn faster and more accurately.","It’s a concept in data science where increasing the number of features causes models to become complex and perform poorly, especially if the added features are not relevant or informative.",Curse of dimensionality means the training process becomes cursed or stuck because of poor data cleaning or missing values. It's fixed by using algorithms like PCA or standardization.,"As dimensionality increases, data becomes sparse, and it becomes difficult for algorithms to detect patterns. This affects clustering and classification accuracy and can lead to increased computation time.","The curse of dimensionality means that the size of the dataset grows larger and takes up more memory, causing your computer to crash during training. That’s why models fail sometimes."
17,What is the difference between precision and recall?,"Precision is the ratio of correctly predicted positive observations to total predicted positives. Recall is the ratio of correctly predicted positives to all actual positives. Precision focuses on accuracy of positive predictions, while recall focuses on capturing all true positives.","Precision and recall are both about checking model accuracy. Precision means how fast the model runs, and recall means how many results it gives back. They are mostly used for regression problems.","Precision is used when false positives matter more, and recall is used when false negatives are more important. For example, in spam detection, high precision ensures fewer non-spam emails are marked as spam.","Recall is the number of predictions divided by total test cases, and precision is the total data divided by predictions. Both are used to increase the overall accuracy of a model.","Precision answers: ‘Of all predicted positives, how many were correct?’ Recall answers: ‘Of all actual positives, how many were predicted correctly?’ In imbalanced datasets, recall is important when missing a positive is costly.","Precision means how well your model detects all the negative cases, and recall means how well it detects the positive ones. They both must be equal to achieve good model accuracy.","Precision is about being accurate when saying something is positive, and recall is about finding all the positives that exist. A good model should have both high precision and high recall.","Precision and recall are two types of graphs. Precision graph shows the accuracy score over time, while recall graph shows the improvement in model performance as the dataset grows.","Recall is the ability to find all relevant cases, especially when you don’t want to miss any true positives. Precision is needed when you want to minimize false alarms.","Precision and recall are the same in most models. They both tell you how accurate the model is, so people use them interchangeably depending on what looks better in the report."
18,What is the F1 score?,The F1 score is the harmonic mean of precision and recall. It balances the two metrics and is especially useful when there is an uneven class distribution. A high F1 score indicates a good balance between precision and recall.,"F1 score tells us how fast a machine learning model trains. The lower the F1 score, the quicker the model finishes training. It’s used to speed up algorithms, especially in large datasets.",F1 score is a performance metric that combines precision and recall into a single number. It is useful when we care about both false positives and false negatives and want a balanced evaluation.,I think the F1 score is the final grade given to a model after it finishes training. It’s like the overall accuracy but is shown as a fraction instead of a percentage.,The F1 score ranges from 0 to 1 and is calculated as 2 * (precision * recall) / (precision + recall). It is particularly useful when dealing with imbalanced classes in classification tasks.,F1 score is only used when there is no training data. It tells the model how to start learning from scratch without knowing what precision or recall is.,"It gives a single metric to evaluate model performance by combining precision and recall. If either precision or recall is low, the F1 score will also be low, making it sensitive to both types of errors.","F1 score is mostly used to decide the number of features in a dataset. If the F1 score is high, it means you can reduce features without affecting performance.","In binary classification, the F1 score provides a balanced metric, especially when the cost of false positives and false negatives is similar. It is widely used in medical diagnoses and spam detection.",F1 score is the accuracy score of the confusion matrix. It is calculated by adding true positives and true negatives and dividing by the total number of predictions made by the model.
19,What is the bias of an estimator?,The bias of an estimator is the difference between the expected value of the estimator and the true value of the parameter being estimated. A high bias means the estimator consistently misses the mark in the same direction.,"Bias of an estimator means the algorithm is unfair or prejudiced. If a model is biased, it means it is treating some classes better than others, like humans show bias.","Bias is when an estimator gives values that are systematically different from the true value. A low-bias estimator is generally more accurate, while a high-bias one leads to underfitting.",I think bias is when the model doesn't work properly because the data has outliers. Removing these outliers can reduce bias and make the model more accurate.,"The bias of an estimator measures how far off the average predicted values are from the actual value. Ideally, we want this bias to be as close to zero as possible.","Bias in estimators happens when the model gives random predictions. It makes the model unstable, so the predictions change a lot even with the same data.",Estimator bias refers to the tendency of a model to consistently overestimate or underestimate a parameter. This systematic error leads to reduced prediction accuracy.,Bias is when an estimator becomes overfitted to the training data. It happens when the model learns the data too well and can't perform on new data.,"Bias is the built-in error that comes from the assumptions made by the learning algorithm. Simpler models often have high bias, which can cause them to miss relevant patterns in the data.","The bias of an estimator is the distance between training and test data. If the bias is large, it means the training data is very different from the testing data, causing poor performance."
20,What is the variance of an estimator?,"The variance of an estimator refers to how much the estimator's predictions vary when different samples from the same population are used. High variance means the estimator is sensitive to small changes in the data, leading to inconsistent predictions.","Variance of an estimator means how far the predicted values are from the actual values. If predictions are accurate, variance is high. If predictions are wrong, variance is low.",An estimator with low variance produces similar results across different datasets. High variance means the model is unstable and predictions differ significantly with slight changes in input data.,"I think variance is the measure of the angle between the predicted and actual values. If the angle is small, variance is low, and the model is good.",Variance describes how spread out the estimator's predictions are across multiple samples. It's a key component in understanding the bias-variance tradeoff and model generalization.,"Estimator variance is the probability that a model will give a biased result. Lower probability means lower variance, and higher probability means the model is very biased.","If an estimator has high variance, it means its predictions are inconsistent and might change significantly if you collect a new dataset. This can lead to overfitting.","Variance of an estimator is the average error made by a model on the training data. A higher training error means higher variance, and a lower training error means lower variance.",Variance measures the variability in predictions if the same estimator is applied to different training sets. High variance models often overfit because they memorize the training data.,"The variance of an estimator is how much it remembers the training data. If the estimator remembers everything, variance is high; if it forgets, variance is low."
